id,source_id,source_job_id,title,location,company,department,link,scrape_timestamp,mission,requirements,benefits,first_seen,last_seen,active
hyimpulse:2449978,hyimpulse,2449978,APPLY NOW,Unknown,HyImpulse,Unknown,https://hyimpulse-technologies-gmbh.jobs.personio.com/job/2449978,2026-09-24T14:24:23.087095Z,,,,2026-09-22,2026-09-24,True
hyimpulse:2457493,hyimpulse,2457493,APPLY NOW,Unknown,HyImpulse,Unknown,https://hyimpulse-technologies-gmbh.jobs.personio.com/job/2457493,2026-09-24T14:24:23.087095Z,,,,2026-09-22,2026-09-24,True
hyimpulse:2463567,hyimpulse,2463567,APPLY NOW,Unknown,HyImpulse,Unknown,https://hyimpulse-technologies-gmbh.jobs.personio.com/job/2463567,2026-09-24T14:24:23.087095Z,,,,2026-09-22,2026-09-24,True
hyimpulse:2502029,hyimpulse,2502029,APPLY NOW,Unknown,HyImpulse,Unknown,https://hyimpulse-technologies-gmbh.jobs.personio.com/job/2502029,2026-09-24T14:24:23.087095Z,,,,2026-09-22,2026-09-24,True
hyimpulse:2502452,hyimpulse,2502452,APPLY NOW,Unknown,HyImpulse,Unknown,https://hyimpulse-technologies-gmbh.jobs.personio.com/job/2502452,2026-09-24T14:24:23.087095Z,,,,2026-09-22,2026-09-24,True
hyimpulse:2515664,hyimpulse,2515664,APPLY NOW,Unknown,HyImpulse,Unknown,https://hyimpulse-technologies-gmbh.jobs.personio.com/job/2515664,2026-09-24T14:24:23.087095Z,,,,2026-09-22,2026-09-24,True
hyimpulse:2546581,hyimpulse,2546581,APPLY NOW,Unknown,HyImpulse,Unknown,https://hyimpulse-technologies-gmbh.jobs.personio.com/job/2546581,2026-09-24T14:24:23.087095Z,,,,2026-09-22,2026-09-24,True
hyimpulse:2546611,hyimpulse,2546611,APPLY NOW,Unknown,HyImpulse,Unknown,https://hyimpulse-technologies-gmbh.jobs.personio.com/job/2546611,2026-09-24T14:24:23.087095Z,,,,2026-09-22,2026-09-24,True
hyimpulse:2611021,hyimpulse,2611021,APPLY NOW,Unknown,HyImpulse,Unknown,https://hyimpulse-technologies-gmbh.jobs.personio.com/job/2611021,2026-09-24T14:24:23.087095Z,,,,2026-09-22,2026-09-24,True
hyimpulse:2700685,hyimpulse,2700685,APPLY NOW,Unknown,HyImpulse,Unknown,https://hyimpulse-technologies-gmbh.jobs.personio.com/job/2700685,2026-09-24T14:24:23.087095Z,,,,2026-09-22,2026-09-24,True
hyimpulse:2748877,hyimpulse,2748877,APPLY NOW,Unknown,HyImpulse,Unknown,https://hyimpulse-technologies-gmbh.jobs.personio.com/job/2748877,2026-09-24T14:24:23.087095Z,,,,2026-09-22,2026-09-24,True
hyimpulse:2762828,hyimpulse,2762828,APPLY NOW,Unknown,HyImpulse,Unknown,https://hyimpulse-technologies-gmbh.jobs.personio.com/job/2762828,2026-09-24T14:24:23.087095Z,,,,2026-09-22,2026-09-24,True
